"a","ShowYourWork Init","","","000","ShowYourWork Init","1.1.3 for 2021-2022 @t1",
"e","import org.jetbrains.kotlin.gradle.tasks.KotlinCompile

plugins {
    kotlin(""jvm"") version ""1.6.20""
    application
}

group = ""org.example""
version = ""1.0-SNAPSHOT""

repositories {
    mavenCentral()
}

dependencies {
    testImplementation(kotlin(""test""))
    
}

tasks.test {
    useJUnitPlatform()
}

tasks.withType<KotlinCompile> {
    kotlinOptions.jvmTarget = ""15""
}

application {
    mainClass.set(""MainKt"")
}","","0","1653671138998","build.gradle.kts","1.1.3 for 2021-2022 @t1",
"a","Paste",,,"1653671145649","build.gradle.kts","1.1.3 for 2021-2022 @t1",
"p","implementation(""io.ktor:ktor-server-core-jvm:2.0.1"")
implementation(""io.ktor:ktor-server-netty-jvm:2.0.1"")
implementation(""io.ktor:ktor-server-status-pages-jvm:2.0.1"")
implementation(""io.ktor:ktor-server-default-headers-jvm:2.0.1"")",,"263","1653671145716","build.gradle.kts","1.1.3 for 2021-2022 @t1",
"e","implementation(""io.ktor:ktor-server-core-jvm:2.0.1"")
implementation(""io.ktor:ktor-server-netty-jvm:2.0.1"")
implementation(""io.ktor:ktor-server-status-pages-jvm:2.0.1"")
implementation(""io.ktor:ktor-server-default-headers-jvm:2.0.1"")","","263","1653671145716","build.gradle.kts","1.1.3 for 2021-2022 @t1",
"e","    ","","316","1653671145716","build.gradle.kts","1.1.3 for 2021-2022 @t1",
"e","    ","","374","1653671145716","build.gradle.kts","1.1.3 for 2021-2022 @t1",
"e","    ","","439","1653671145716","build.gradle.kts","1.1.3 for 2021-2022 @t1",
"a","Undefined",,,"1653671165974","build.gradle.kts","1.1.3 for 2021-2022 @t1",
"a","Undefined",,,"1653671166188","build.gradle.kts","1.1.3 for 2021-2022 @t1",
"a","Undefined",,,"1653671166188","build.gradle.kts","1.1.3 for 2021-2022 @t1",
"a","Undefined",,,"1653671166188","build.gradle.kts","1.1.3 for 2021-2022 @t1",
"a","VimInsertNewLineAboveAction",,,"1653671198048","build.gradle.kts","1.1.3 for 2021-2022 @t1",
